name,height,co2_absorption,canopy_cover
Sophora japonica,5,1.8,12.6
Sophora japonica,4,1.1,7.1
Sophora japonica,4,1.1,7.1
Sophora japonica,4,1.1,7.1
Tilia x europaea,5,1.6,4.9
Tilia x europaea,5,1.6,4.9
Tilia x europaea,5,1.6,4.9
Tilia x europaea,5,1.6,4.9
Tilia x europaea,5,1.6,4.9
Tilia x europaea,5,1.6,4.9
Tilia x europaea,6,6.7,28.3
Tilia x europaea,5,3.4,3.1
Tilia x europaea,8,14.3,50.3
Tilia x europaea,8,14.3,50.3
Tilia x europaea,8,14.3,50.3
Tilia x europaea,12,3.8,24.3
Tilia x europaea,12,3.8,24.3
Tilia x europaea,12,3.8,24.3
Tilia x europaea,12,3.8,24.3
Tilia x europaea,12,3.8,24.3
Tilia x europaea,12,3.8,24.3
Tilia x europaea,12,3.8,24.3
Tilia x europaea,12,3.8,24.3
Tilia x europaea,12,3.4,24.3
Tilia x europaea,12,3.4,24.3
Tilia x europaea,12,3.4,24.3
Tilia x europaea,5,3,7.1
Tilia x europaea,12,4.2,7.1
Tilia x europaea,20,9.1,12.6
Tilia x europaea,10,4.6,7.1
Tilia x europaea,10,2.6,7.1
Celtis australis,8,1.1,50.3
Carpinus betulus,4.5,1.5,4.9
Carpinus betulus,4.5,1.5,4.9
Carpinus betulus,5,1.7,3.1
Carpinus betulus,5,1.7,7.1
Carpinus betulus,5,1.7,3.1
Tilia cordata,4,0.6,1.8
Tilia cordata,4,0.6,0.8
Tilia cordata,6,1.6,12.6
Platanus x hispanica,11,7.1,78.5
Carpinus betulus,4,1.5,4.9
Carpinus betulus,4.5,2.1,7.1
Carpinus betulus,4.5,1.5,3.1
Tilia cordata,4,1.4,7.1
Tilia cordata,1,0.8,0.2
Tilia cordata,6,2.1,28.3
Tilia cordata,5,1,1.8
Tilia cordata,6,2.4,28.3
Tilia cordata,4.5,0.8,0.8
Tilia cordata,4,0.8,0.8
Tilia cordata,4.5,0.8,0.8
Tilia cordata,4,1.6,12.6
Tilia cordata,5,1.9,12.6
Tilia cordata,5,1.6,12.6
Tilia cordata,4,0.7,0.8
Tilia cordata,4.5,1.4,12.6
Tilia cordata,4,0.8,1.8
Tilia cordata,5,2.4,12.6
Tilia cordata,4,0.7,1.8
Tilia cordata,6,2.6,12.6
Tilia cordata,4,0.7,0.8
Tilia cordata,4,0.7,0.8
Tilia cordata,4,1,7.1
Tilia cordata,5,1.3,7.1
Tilia cordata,4.5,1.7,12.6
Tilia cordata,4,0.6,0.8
Tilia cordata,4,0.7,0.8
Tilia cordata,4,0.7,0.8
Tilia cordata,4,1.6,7.1
Tilia cordata,4.5,1.9,12.6
Tilia cordata,4,0.6,0.8
Tilia cordata,4,0.6,0.8
Tilia cordata,4,0.6,0.8
Tilia cordata,3,0.4,0.8
Tilia cordata,4,0.4,0.8
Tilia cordata,5,2.3,12.6
Tilia cordata,4,0.8,1.8
Tilia cordata,5,2.1,19.6
Platanus x hispanica,7,1.5,3.1
Platanus x hispanica,6,1.5,3.1
Platanus x hispanica,7,2,3.1
Platanus x hispanica,8,2.2,3.1
Platanus x hispanica,6,1.7,7.1
Platanus x hispanica,6,1.7,7.1
Carpinus betulus,6,1.1,7.1
Carpinus betulus,6,1.1,3.1
Carpinus betulus,6,1.1,7.1
Celtis australis,7,1,28.3
Tilia cordata,6,1.9,12.6
Tilia cordata,6,1.6,12.6
Tilia cordata,6,1.9,12.6
Tilia cordata,6,1.7,12.6
Tilia cordata,6,2.1,12.6
Tilia cordata,5,1.6,4.9
Tilia cordata,6,2.1,15.9
Tilia cordata,5,1.1,7.1
Tilia cordata,4,0.7,1.8
Tilia cordata,5.5,1.7,19.6
Tilia cordata,4.5,1.6,12.6
Tilia cordata,3.5,0.7,1.8
Tilia cordata,4,0.8,3.1
Tilia cordata,3,0.7,0.8
Tilia cordata,4,1,3.1
Tilia cordata,3.5,0.7,1.8
Tilia cordata,3.5,0.7,1.8
Tilia cordata,3.5,0.7,1.8
Tilia cordata,4,1.3,12.6
Tilia cordata,4.5,1.4,19.6
Tilia cordata,4,0.6,0.8
Tilia cordata,6,1.7,12.6
Tilia cordata,5,1.6,12.6
Tilia cordata,4,1,1.8
Tilia cordata,4,1.1,7.1
Tilia cordata,4,1.1,7.1
Tilia cordata,4.5,1.4,12.6
Tilia cordata,4,1.1,4.9
Tilia cordata,3,1,0.8
Celtis australis,6,0.8,19.6
Celtis australis,6,0.8,19.6
Celtis australis,6,0.8,19.6
Celtis australis,5,0.8,7.1
Celtis australis,5,0.8,7.1
Celtis australis,5,0.8,7.1
Celtis australis,5,0.8,7.1
Celtis australis,5,0.8,7.1
Celtis australis,6,0.8,19.6
Celtis australis,6,0.8,19.6
Celtis australis,5,0.8,7.1
Celtis australis,5,0.7,4.9
Celtis australis,5,0.7,4.9
Celtis australis,5,0.7,4.9
Celtis australis,5,0.8,7.1
Celtis australis,6,0.8,19.6
Celtis australis,6,0.8,19.6
Celtis australis,6,0.7,19.6
Celtis australis,6,0.8,19.6
Celtis australis,6,0.7,12.6
Celtis australis,6,0.7,12.6
Celtis australis,6,0.8,12.6
Celtis australis,6,0.7,12.6
Celtis australis,6,0.7,12.6
Celtis australis,6,0.7,12.6
Celtis australis,5,0.6,4.9
Celtis australis,5,0.7,4.9
Celtis australis,5,0.8,7.1
Celtis australis,5,0.7,4.9
Celtis australis,5,0.7,7.1
Celtis australis,5,0.7,7.1
Celtis australis,5,0.7,7.1
Celtis australis,5,0.6,4.9
Celtis australis,5,0.7,7.1
Celtis australis,5,0.7,7.1
Celtis australis,5,0.8,7.1
Celtis australis,6,0.8,19.6
Celtis australis,5,0.8,7.1
Celtis australis,6,0.8,19.6
Celtis australis,6,0.8,19.6
Celtis australis,5,0.8,7.1
Celtis australis,5,0.8,7.1
Celtis australis,5,0.8,7.1
Celtis australis,6,0.8,19.6
Celtis australis,6,0.8,19.6
Celtis australis,6,0.8,19.6
Celtis australis,6,0.8,19.6
Celtis australis,6,0.8,19.6
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Tilia cordata,4,1.1,4.9
Celtis australis,6,0.9,28.3
Carpinus betulus,4.5,1.7,4.9
Carpinus betulus,5,1.5,3.1
Carpinus betulus,4.5,1.7,4.9
Carpinus betulus,4.5,1.7,4.9
Carpinus betulus,4.5,1.5,4.9
Carpinus betulus,5,1.7,3.1
Carpinus betulus,5,1.7,3.1
Carpinus betulus,4.5,1.5,4.9
Carpinus betulus,5,1.7,3.1
Carpinus betulus,2.5,1.5,3.1
Carpinus betulus,4.5,1.5,3.1
Carpinus betulus,5,1.7,7.1
Carpinus betulus,5,1.7,7.1
Carpinus betulus,4.5,1.7,4.9
Carpinus betulus,4.5,1.5,4.9
Carpinus betulus,4.5,1.5,3.1
Carpinus betulus,4.5,1.7,4.9
Carpinus betulus,4.5,1.5,3.1
Carpinus betulus,4.5,1.5,7.1
Carpinus betulus,4.5,1.5,4.9
Carpinus betulus,4.5,1.5,7.1
Carpinus betulus,4.5,1.7,4.9
Carpinus betulus,4.5,1.5,3.1
Carpinus betulus,5,1.7,3.1
Carpinus betulus,4.5,1.5,3.1
Carpinus betulus,4.5,1.5,4.9
Carpinus betulus,4.5,1.5,4.9
Carpinus betulus,4.5,1.5,4.9
Carpinus betulus,5,1.7,3.1
Celtis australis,6,0.9,12.6
Celtis australis,6,0.9,12.6
Celtis australis,6,0.9,12.6
Celtis australis,6,0.9,12.6
Celtis australis,6,0.9,12.6
Celtis australis,6,0.9,12.6
Celtis australis,6,0.9,12.6
Celtis australis,6,0.9,12.6
Celtis australis,6,0.9,12.6
Celtis australis,6,0.9,12.6
Celtis australis,6,1,12.6
Celtis australis,6,1,12.6
Celtis australis,6,1,12.6
Celtis australis,6,1,12.6
Celtis australis,6,1,12.6
Celtis australis,6,0.9,12.6
Celtis australis,6,1,12.6
Celtis australis,6,1,12.6
Celtis australis,6,1.1,12.6
Celtis australis,5,0.7,12.6
Celtis australis,5,0.6,7.1
Celtis australis,5,0.7,12.6
Celtis australis,5,0.7,12.6
Celtis australis,4.5,0.6,7.1
Celtis australis,5,0.6,9.6
Celtis australis,5,0.6,7.1
Celtis australis,4.5,0.7,7.1
Celtis australis,4.5,0.7,7.1
Celtis australis,4.5,0.7,7.1
Celtis australis,4.5,0.7,7.1
Celtis australis,4.5,0.7,7.1
Celtis australis,5,0.7,19.6
Celtis australis,4.5,0.7,7.1
Celtis australis,4.5,0.7,7.1
Celtis australis,4.5,0.7,7.1
Celtis australis,4.5,0.7,7.1
Celtis australis,4.5,0.7,7.1
Celtis australis,4.5,0.7,7.1
