name,count,mean_canopy_cover
Fraxinus angustifolia ssp. Oxycarpa,2,4.45
Maclura pomifera,2,3.1
Thuja occidentalis,2,11.350000000000001
Malus sylvestris,2,9.85
Hibiscus syriacus,2,1.1
Spiraea japonica,2,21.7
Elaeagnus,2,21.7
Philadelphus pubescens,2,21.7
Populus tremula,2,86.75
Spiraea,2,21.7
Salix x sepulcralis v. chrysocoma,2,21.7
Cornus mas,2,7.1
Salix alba,2,39.3
Hedera helix,2,21.7
Punica granatum,2,21.7
Viburnum,2,21.7
Cornus sanguinea,2,21.7
Calycanthus,2,21.7
Pinus coulteri,2,63.6
Thuja plicata,2,7.1
Catalpa,1,38.5
Prunus amygdalus,1,0.8
Alnus cordata,1,50.3
Syringa vulgaris,1,21.7
Tamarix gallica,1,7.1
Acer tataricum,1,3.1
Laburnum anagyroides,1,21.7
Acer opalus,1,3.1
Total,1,382146.7
Abies pinsapo,1,63.6
Torreya nucifera,1,28.3
Aesculus,1,176.7
Picea sitchensis,1,7.1
Acacia,1,78.5
Forsythia viridissima,1,21.7
Zanthoxylum flavum,1,21.7
Forsythia x intermedia,1,21.7
Eucalyptus cordata,1,3.1
Pinus bungeana,1,19.6
Calocedrus decurrens,1,12.6
Cornus nuttallii,1,21.7
Lagerstroemia,1,19.6
Abies nordmanniana,1,28.3
Betula lenta,1,7.1
Prunus lusitanica,1,3.1
Pinus cembra,1,38.5
Rhus typhina,1,19.6
Sequoia sempervirens,1,12.6
Magnolia kobus,1,0.8
