,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Country
0,70.69242287550682,71.94221533401743,72.87918154184223,74.17855267237202,75.18053293532515,75.3383933701371,76.49221961205808,76.98147677661913,78.3215945985886,78.3879707106906,Belgium
1,26.119525534881056,27.274777352694763,29.054901888944762,29.352302146421692,30.178949231577985,30.682489680037676,31.849977052312806,32.699919406453844,34.44468210671,34.52415771585625,Bulgaria
2,26.084631786831558,27.517405360912512,27.954700496385666,28.661434014839188,28.0648857066298,28.91630801778585,30.32197131143729,30.920626963260762,32.59183763358558,32.97516226111534,Czechia
3,82.30608931302986,82.94895173550756,83.43182605388527,83.7714892327001,83.45005508018512,83.34170106530233,83.36198659267541,83.23977860321341,83.53373585320091,83.11665204428377,Denmark
4,57.620711162235615,59.26604161566734,60.996282639762356,61.42669045123278,62.42129526308376,62.78179346542909,64.05377996017133,66.15460648849044,66.5649847754953,66.7678707561568,Germany
5,60.847867696471134,64.3129841931621,66.96487336258411,66.66477652236438,66.96572886166543,68.19955995712931,69.17453925731616,69.81210535406977,70.69265417129166,70.50206446508766,Estonia
6,96.26625509504166,95.14813939171559,93.68484003324674,93.3847780008794,93.39987091361459,93.75308586272844,94.01122386451654,93.98595800924281,94.09431972185773,94.51962553436468,Ireland
7,47.02096393393423,47.024540778057116,46.23301000126188,46.1925193175476,46.80638234444114,45.203725455792,44.83076982530722,45.281279681409835,46.45987632802923,47.006102665458684,Greece
8,58.39171358619231,59.05633950621009,61.568653871858956,61.294020070911934,62.419159850101,62.88221040486489,62.952290595400285,63.8457130040863,64.98839017894097,65.17988773190197,Spain
9,69.3524840606279,69.56126538419863,70.93873921507583,72.37807967364637,72.25032463210509,72.05965394348647,72.23792440189196,71.71334110817251,72.28837862515896,72.28837875027375,France
10,46.15798250184848,45.37269958057104,44.692366948165684,43.795572805016384,44.09422123226448,43.07295671512251,42.040465896650176,42.3959165829377,41.85550796204158,41.448157424374564,Croatia
11,43.755706891624676,45.262821079528294,45.27252355828772,45.736084456227985,46.815906734215986,47.1286435350708,47.33537525360877,48.41917628431216,47.79181868210009,48.35097853017936,Italy
12,36.178159357010905,34.39547210813265,33.56969981673134,33.47058721875182,34.68046203068328,35.050437174289875,35.174434453055426,35.61996895388905,37.15606336828745,37.15595140322488,Cyprus
13,58.91360288344978,59.28741237010552,59.85176862122581,62.420771046926994,61.7729994406071,61.453344193988194,62.92722985348062,62.73566227208096,63.00390909706298,62.322812015342734,Latvia
14,56.61795070121713,56.741999697922076,59.043463020705936,59.72028699533214,59.28565243633178,58.51572244078051,61.29547465125973,60.98602848572878,61.59734094040724,62.01379534000727,Lithuania
15,75.9742664879033,77.33289578913637,77.92860231036663,79.3155470258067,80.54709993541917,80.47789579555325,80.50264951848486,80.61944282812196,81.54337357241702,80.8003973232957,Luxembourg
16,30.266167531889153,31.55965731035496,33.04672309229913,33.952463911689414,34.73715316927251,34.447862695603604,34.91178724768417,35.0703818197578,35.52230804656059,35.709514149141306,Hungary
17,28.38430878959513,28.25702153783189,25.765215056311114,23.659092381159873,22.073792498397598,21.749399615924013,21.017701824059294,20.316469877576264,20.53311325737079,19.453765963713625,Malta
18,70.22940090147445,71.83495100480198,72.82350928759135,74.65641033307674,75.9956039699874,77.2067959568677,78.32081458040227,77.73724974952562,78.28619302226745,78.66859924208181,Netherlands
19,68.44784962877193,70.04237326418692,71.64641200391286,72.85965147895072,74.13282521059071,74.84064808040034,76.12555978841273,76.76066041827954,77.42444725114778,78.2123392383169,Austria
20,30.213830717681635,30.168539645777077,30.57526031042508,30.457460899642168,30.540897415567887,31.537560596986005,32.23920355469984,33.955573683956885,34.80141689430176,35.13425211353593,Poland
21,44.15946081375603,44.609558909827236,45.28361835546731,46.97768870329118,48.28139759272308,49.15144553830836,49.99168017580494,50.114740200124,51.07842736477457,51.34850467984561,Portugal
22,36.32712808017015,36.2654744169314,37.31181002933396,37.944652762068564,38.411654033004254,37.75664862614492,37.95197562857595,37.42596052198182,38.701646590672745,38.701646808067245,Romania
23,57.690385753140994,59.06286194914786,62.469174443930875,62.95288399297999,62.945783967786184,62.97589370448983,64.26647216963109,64.96129406214045,65.61314291313384,67.7602679682509,Slovenia
24,28.324474643111913,27.91551450189191,28.660964232235397,29.481490979378165,28.924571251196358,29.27562323076674,30.076920259388746,29.387510608604785,29.852644294701065,29.852648851302227,Slovakia
25,51.23416625795397,52.570362816788496,54.573646099582184,55.58679661147987,57.12362552877156,58.2062212869989,58.55281806582322,58.99705202002436,59.842061037927316,60.73985917868535,Finland
26,68.13264145207309,69.8893184813022,71.94369022716725,73.48396917370343,74.76741010458382,76.07617417563351,77.1417001362155,78.58693199888837,79.71766124267005,79.58025152055383,Sweden
27,58.10561382607074,56.42638139512234,59.123395661864095,59.14070262849849,60.7683810128917,60.60782972353067,58.87765345726647,62.003544860824924,58.9314182450431,67.76550590513504,Iceland
28,53.3226310909511,53.98038621104908,54.5491618377548,55.12482462979618,57.288558625591804,58.632578932481,59.11738022890511,59.412535610981095,59.77067336209348,60.85089879472078,Norway
29,82.74894095350396,83.08961778486226,83.55684284835687,83.75508485029735,83.80968754029313,83.96288632527828,84.27806139627818,84.32013222672232,0.0,0.0,Switzerland
30,42.86874952234398,46.14427534809621,48.85258275582295,49.90190514605056,51.5189252472814,51.27047897498921,50.75391745800194,51.70960517989066,0.0,0.0,United Kingdom
31,34.230493891442634,33.72567341978588,34.276409342802744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Serbia
