source,target,category
Murray Gell-Mann,North America,Physics
Max Delbrück,Medicine,Medicine
Max Delbrück,North America,Medicine
Derek Barton,Chemistry,Chemistry
Derek Barton,Europe,Chemistry
Jan Tinbergen,Economic Sciences,Economic Sciences
Jan Tinbergen,Europe,Economic Sciences
Alfred D. Hershey,Medicine,Medicine
Alfred D. Hershey,North America,Medicine
Odd Hassel,Chemistry,Chemistry
Odd Hassel,Europe,Chemistry
Louis Néel,Physics,Physics
Louis Néel,Europe,Physics
Norman Borlaug,Peace,Peace
Norman Borlaug,,Peace
Alexandr Solzhenitsyn,Literature,Literature
Alexandr Solzhenitsyn,,Literature
Julius Axelrod,Medicine,Medicine
Julius Axelrod,North America,Medicine
Luis Leloir,Chemistry,Chemistry
Luis Leloir,Argentina,Chemistry
Hannes Alfvén,Physics,Physics
Hannes Alfvén,Europe,Physics
Ulf von Euler,Medicine,Medicine
Ulf von Euler,Europe,Medicine
Sir Bernard Katz,Medicine,Medicine
Sir Bernard Katz,Europe,Medicine
Paul A. Samuelson,Economic Sciences,Economic Sciences
Paul A. Samuelson,North America,Economic Sciences
Gerhard Herzberg,Chemistry,Chemistry
Gerhard Herzberg,North America,Chemistry
Simon Kuznets,Economic Sciences,Economic Sciences
Simon Kuznets,North America,Economic Sciences
Dennis Gabor,Physics,Physics
Dennis Gabor,Europe,Physics
Pablo Neruda,Literature,Literature
Pablo Neruda,,Literature
Willy Brandt,Peace,Peace
Willy Brandt,,Peace
"Earl W. Sutherland, Jr.",Medicine,Medicine
"Earl W. Sutherland, Jr.",North America,Medicine
John Bardeen,Physics,Physics
John Bardeen,North America,Physics
Kenneth J. Arrow,Economic Sciences,Economic Sciences
Kenneth J. Arrow,North America,Economic Sciences
Heinrich Böll,Literature,Literature
Heinrich Böll,,Literature
John R. Hicks,Economic Sciences,Economic Sciences
John R. Hicks,Europe,Economic Sciences
Christian Anfinsen,Chemistry,Chemistry
Christian Anfinsen,North America,Chemistry
Stanford Moore,Chemistry,Chemistry
Stanford Moore,North America,Chemistry
Rodney R. Porter,Medicine,Medicine
Rodney R. Porter,Europe,Medicine
Gerald M. Edelman,Medicine,Medicine
Gerald M. Edelman,North America,Medicine
Leon N. Cooper,Physics,Physics
Leon N. Cooper,North America,Physics
William H. Stein,Chemistry,Chemistry
William H. Stein,North America,Chemistry
Robert Schrieffer,Physics,Physics
Robert Schrieffer,North America,Physics
Brian D. Josephson,Physics,Physics
Brian D. Josephson,Europe,Physics
Ernst Otto Fischer,Chemistry,Chemistry
Ernst Otto Fischer,Europe,Chemistry
Wassily Leontief,Economic Sciences,Economic Sciences
Wassily Leontief,North America,Economic Sciences
Geoffrey Wilkinson,Chemistry,Chemistry
Geoffrey Wilkinson,Europe,Chemistry
Patrick White,Literature,Literature
Patrick White,,Literature
Karl von Frisch,Medicine,Medicine
Karl von Frisch,Europe,Medicine
Nikolaas Tinbergen,Medicine,Medicine
Nikolaas Tinbergen,Europe,Medicine
Henry Kissinger,Peace,Peace
Henry Kissinger,,Peace
Ivar Giaever,Physics,Physics
Ivar Giaever,North America,Physics
Leo Esaki,Physics,Physics
Leo Esaki,North America,Physics
Le Duc Tho ,Peace,Peace
Le Duc Tho ,,Peace
Konrad Lorenz,Medicine,Medicine
Konrad Lorenz,Europe,Medicine
Albert Claude,Medicine,Medicine
Albert Claude,Europe,Medicine
Gunnar Myrdal,Economic Sciences,Economic Sciences
Gunnar Myrdal,,Economic Sciences
Antony Hewish,Physics,Physics
Antony Hewish,Europe,Physics
Eisaku Sato,Peace,Peace
Eisaku Sato,,Peace
George E. Palade,Medicine,Medicine
George E. Palade,North America,Medicine
Friedrich von Hayek,Economic Sciences,Economic Sciences
Friedrich von Hayek,,Economic Sciences
Paul J. Flory,Chemistry,Chemistry
Paul J. Flory,North America,Chemistry
Harry Martinson,Literature,Literature
Harry Martinson,,Literature
Seán MacBride,Peace,Peace
Seán MacBride,,Peace
Martin Ryle,Physics,Physics
Martin Ryle,Europe,Physics
Christian de Duve,Medicine,Medicine
Christian de Duve,North America,Medicine
Eyvind Johnson,Literature,Literature
Eyvind Johnson,,Literature
Howard M. Temin,Medicine,Medicine
Howard M. Temin,North America,Medicine
Ben R. Mottelson,Physics,Physics
Ben R. Mottelson,Europe,Physics
Leonid Vitaliyevich Kantorovich,Economic Sciences,Economic Sciences
Leonid Vitaliyevich Kantorovich,Russia,Economic Sciences
John Cornforth,Chemistry,Chemistry
John Cornforth,Europe,Chemistry
Tjalling C. Koopmans,Economic Sciences,Economic Sciences
Tjalling C. Koopmans,North America,Economic Sciences
Vladimir Prelog,Chemistry,Chemistry
Vladimir Prelog,Europe,Chemistry
Eugenio Montale,Literature,Literature
Eugenio Montale,,Literature
James Rainwater,Physics,Physics
James Rainwater,North America,Physics
Renato Dulbecco,Medicine,Medicine
Renato Dulbecco,Europe,Medicine
Aage N. Bohr,Physics,Physics
Aage N. Bohr,Europe,Physics
David Baltimore,Medicine,Medicine
David Baltimore,North America,Medicine
Andrei Sakharov,Peace,Peace
Andrei Sakharov,,Peace
Mairead Corrigan,Peace,Peace
Mairead Corrigan,,Peace
Samuel C.C. Ting,Physics,Physics
Samuel C.C. Ting,North America,Physics
William Lipscomb,Chemistry,Chemistry
William Lipscomb,North America,Chemistry
D. Carleton Gajdusek,Medicine,Medicine
D. Carleton Gajdusek,North America,Medicine
Baruch S. Blumberg,Medicine,Medicine
Baruch S. Blumberg,North America,Medicine
Burton Richter,Physics,Physics
Burton Richter,North America,Physics
Milton Friedman,Economic Sciences,Economic Sciences
Milton Friedman,North America,Economic Sciences
Betty Williams,Peace,Peace
Betty Williams,,Peace
Saul Bellow,Literature,Literature
Saul Bellow,,Literature
Sir Nevill F. Mott,Physics,Physics
Sir Nevill F. Mott,Europe,Physics
Roger Guillemin,Medicine,Medicine
Roger Guillemin,North America,Medicine
Ilya Prigogine,Chemistry,Chemistry
Ilya Prigogine,Europe,Chemistry
Rosalyn Yalow,Medicine,Medicine
Rosalyn Yalow,North America,Medicine
Bertil Ohlin,Economic Sciences,Economic Sciences
Bertil Ohlin,Europe,Economic Sciences
Andrew V. Schally,Medicine,Medicine
Andrew V. Schally,North America,Medicine
John H. van Vleck,Physics,Physics
John H. van Vleck,North America,Physics
Vicente Aleixandre,Literature,Literature
Vicente Aleixandre,,Literature
Philip W. Anderson,Physics,Physics
Philip W. Anderson,North America,Physics
James E. Meade,Economic Sciences,Economic Sciences
James E. Meade,Europe,Economic Sciences
Menachem Begin,Peace,Peace
Menachem Begin,,Peace
Anwar al-Sadat,Peace,Peace
Anwar al-Sadat,,Peace
Isaac Bashevis Singer,Literature,Literature
Isaac Bashevis Singer,,Literature
Werner Arber,Medicine,Medicine
Werner Arber,Europe,Medicine
Daniel Nathans,Medicine,Medicine
Daniel Nathans,North America,Medicine
Pyotr Kapitsa,Physics,Physics
Pyotr Kapitsa,Russia,Physics
Hamilton O. Smith,Medicine,Medicine
Hamilton O. Smith,North America,Medicine
Peter Mitchell,Chemistry,Chemistry
Peter Mitchell,Europe,Chemistry
Herbert Simon,Economic Sciences,Economic Sciences
Herbert Simon,North America,Economic Sciences
Robert Woodrow Wilson,Physics,Physics
Robert Woodrow Wilson,North America,Physics
Arno Penzias,Physics,Physics
Arno Penzias,North America,Physics
Steven Weinberg,Physics,Physics
Steven Weinberg,North America,Physics
Godfrey N. Hounsfield,Medicine,Medicine
Godfrey N. Hounsfield,Europe,Medicine
Theodore W. Schultz,Economic Sciences,Economic Sciences
Theodore W. Schultz,North America,Economic Sciences
Georg Wittig,Chemistry,Chemistry
Georg Wittig,Europe,Chemistry
Sir Arthur Lewis,Economic Sciences,Economic Sciences
Sir Arthur Lewis,North America,Economic Sciences
Odysseus Elytis,Literature,Literature
Odysseus Elytis,,Literature
Abdus Salam,Physics,Physics
Abdus Salam,Europe,Physics
Herbert C. Brown,Chemistry,Chemistry
Herbert C. Brown,North America,Chemistry
Sheldon Glashow,Physics,Physics
Sheldon Glashow,North America,Physics
Mother Teresa ,Peace,Peace
Mother Teresa ,,Peace
Allan M. Cormack,Medicine,Medicine
Allan M. Cormack,North America,Medicine
Lawrence R. Klein,Economic Sciences,Economic Sciences
Lawrence R. Klein,North America,Economic Sciences
Val Fitch,Physics,Physics
Val Fitch,North America,Physics
James Cronin,Physics,Physics
James Cronin,North America,Physics
Paul Berg,Chemistry,Chemistry
Paul Berg,North America,Chemistry
Frederick Sanger,Chemistry,Chemistry
Frederick Sanger,Europe,Chemistry
Walter Gilbert,Chemistry,Chemistry
Walter Gilbert,North America,Chemistry
Adolfo Pérez Esquivel,Peace,Peace
Adolfo Pérez Esquivel,,Peace
Jean Dausset,Medicine,Medicine
Jean Dausset,Europe,Medicine
Czeslaw Milosz,Literature,Literature
Czeslaw Milosz,,Literature
George D. Snell,Medicine,Medicine
George D. Snell,North America,Medicine
Baruj Benacerraf,Medicine,Medicine
Baruj Benacerraf,North America,Medicine
Roald Hoffmann,Chemistry,Chemistry
Roald Hoffmann,North America,Chemistry
James Tobin,Economic Sciences,Economic Sciences
James Tobin,North America,Economic Sciences
Kenichi Fukui,Chemistry,Chemistry
Kenichi Fukui,Japan,Chemistry
Nicolaas Bloembergen,Physics,Physics
Nicolaas Bloembergen,North America,Physics
Arthur L. Schawlow,Physics,Physics
Arthur L. Schawlow,North America,Physics
David H. Hubel,Medicine,Medicine
David H. Hubel,North America,Medicine
Roger W. Sperry,Medicine,Medicine
Roger W. Sperry,North America,Medicine
Elias Canetti,Literature,Literature
Elias Canetti,,Literature
Torsten N. Wiesel,Medicine,Medicine
Torsten N. Wiesel,North America,Medicine
Kai M. Siegbahn,Physics,Physics
Kai M. Siegbahn,Europe,Physics
Kenneth G. Wilson,Physics,Physics
Kenneth G. Wilson,North America,Physics
Bengt I. Samuelsson,Medicine,Medicine
Bengt I. Samuelsson,Europe,Medicine
Alfonso García Robles,Peace,Peace
Alfonso García Robles,,Peace
John R. Vane,Medicine,Medicine
John R. Vane,Europe,Medicine
Gabriel García Márquez,Literature,Literature
Gabriel García Márquez,,Literature
George J. Stigler,Economic Sciences,Economic Sciences
George J. Stigler,North America,Economic Sciences
Alva Myrdal,Peace,Peace
Alva Myrdal,,Peace
Aaron Klug,Chemistry,Chemistry
Aaron Klug,Europe,Chemistry
Sune K. Bergström,Medicine,Medicine
Sune K. Bergström,Europe,Medicine
Henry Taube,Chemistry,Chemistry
Henry Taube,North America,Chemistry
William A. Fowler,Physics,Physics
William A. Fowler,North America,Physics
Gerard Debreu,Economic Sciences,Economic Sciences
Gerard Debreu,North America,Economic Sciences
William Golding,Literature,Literature
William Golding,,Literature
Subramanyan Chandrasekhar,Physics,Physics
Subramanyan Chandrasekhar,North America,Physics
Lech Walesa,Peace,Peace
Lech Walesa,,Peace
Barbara McClintock,Medicine,Medicine
Barbara McClintock,North America,Medicine
Georges J.F. Köhler,Medicine,Medicine
Georges J.F. Köhler,Europe,Medicine
Richard Stone,Economic Sciences,Economic Sciences
Richard Stone,Europe,Economic Sciences
Carlo Rubbia,Physics,Physics
Carlo Rubbia,Europe,Physics
Desmond Tutu,Peace,Peace
Desmond Tutu,,Peace
César Milstein,Medicine,Medicine
César Milstein,Europe,Medicine
Simon van der Meer,Physics,Physics
Simon van der Meer,Europe,Physics
Jaroslav Seifert,Literature,Literature
Jaroslav Seifert,,Literature
Bruce Merrifield,Chemistry,Chemistry
Bruce Merrifield,North America,Chemistry
Niels K. Jerne,Medicine,Medicine
Niels K. Jerne,Europe,Medicine
Jerome Karle,Chemistry,Chemistry
Jerome Karle,North America,Chemistry
Claude Simon,Literature,Literature
Claude Simon,,Literature
Klaus von Klitzing,Physics,Physics
Klaus von Klitzing,Europe,Physics
Michael S. Brown,Medicine,Medicine
Michael S. Brown,North America,Medicine
Herbert A. Hauptman,Chemistry,Chemistry
Herbert A. Hauptman,North America,Chemistry
Franco Modigliani,Economic Sciences,Economic Sciences
Franco Modigliani,North America,Economic Sciences
Joseph L. Goldstein,Medicine,Medicine
Joseph L. Goldstein,North America,Medicine
Heinrich Rohrer,Physics,Physics
Heinrich Rohrer,Europe,Physics
Gerd Binnig,Physics,Physics
Gerd Binnig,Europe,Physics
Elie Wiesel,Peace,Peace
Elie Wiesel,,Peace
Yuan T. Lee,Chemistry,Chemistry
Yuan T. Lee,North America,Chemistry
Ernst Ruska,Physics,Physics
Ernst Ruska,Europe,Physics
Stanley Cohen,Medicine,Medicine
Stanley Cohen,North America,Medicine
Dudley R. Herschbach,Chemistry,Chemistry
Dudley R. Herschbach,North America,Chemistry
Wole Soyinka,Literature,Literature
Wole Soyinka,,Literature
John C. Polanyi,Chemistry,Chemistry
John C. Polanyi,North America,Chemistry
James M. Buchanan Jr.,Economic Sciences,Economic Sciences
James M. Buchanan Jr.,North America,Economic Sciences
Rita Levi-Montalcini,Medicine,Medicine
Rita Levi-Montalcini,Europe,Medicine
Charles J. Pedersen,Chemistry,Chemistry
Charles J. Pedersen,North America,Chemistry
K. Alex Müller,Physics,Physics
K. Alex Müller,Europe,Physics
Oscar Arias Sánchez,Peace,Peace
Oscar Arias Sánchez,,Peace
Jean-Marie Lehn,Chemistry,Chemistry
Jean-Marie Lehn,Europe,Chemistry
Joseph Brodsky,Literature,Literature
Joseph Brodsky,,Literature
Susumu Tonegawa,Medicine,Medicine
Susumu Tonegawa,North America,Medicine
J. Georg Bednorz,Physics,Physics
J. Georg Bednorz,Europe,Physics
Robert M. Solow,Economic Sciences,Economic Sciences
Robert M. Solow,North America,Economic Sciences
Donald J. Cram,Chemistry,Chemistry
Donald J. Cram,North America,Chemistry
Hartmut Michel,Chemistry,Chemistry
Hartmut Michel,Europe,Chemistry
Gertrude B. Elion,Medicine,Medicine
Gertrude B. Elion,North America,Medicine
Johann Deisenhofer,Chemistry,Chemistry
Johann Deisenhofer,North America,Chemistry
Leon M. Lederman,Physics,Physics
Leon M. Lederman,North America,Physics
Robert Huber,Chemistry,Chemistry
Robert Huber,Europe,Chemistry
Jack Steinberger,Physics,Physics
Jack Steinberger,Europe,Physics
Maurice Allais,Economic Sciences,Economic Sciences
Maurice Allais,Europe,Economic Sciences
Sir James W. Black,Medicine,Medicine
Sir James W. Black,Europe,Medicine
Naguib Mahfouz,Literature,Literature
Naguib Mahfouz,,Literature
George H. Hitchings,Medicine,Medicine
George H. Hitchings,North America,Medicine
Melvin Schwartz,Physics,Physics
Melvin Schwartz,North America,Physics
Camilo José Cela,Literature,Literature
Camilo José Cela,,Literature
Wolfgang Paul,Physics,Physics
Wolfgang Paul,Europe,Physics
Thomas R. Cech,Chemistry,Chemistry
Thomas R. Cech,North America,Chemistry
Hans G. Dehmelt,Physics,Physics
Hans G. Dehmelt,North America,Physics
J. Michael Bishop,Medicine,Medicine
J. Michael Bishop,North America,Medicine
Norman F. Ramsey,Physics,Physics
Norman F. Ramsey,North America,Physics
Trygve Haavelmo,Economic Sciences,Economic Sciences
Trygve Haavelmo,Europe,Economic Sciences
The 14th Dalai Lama ,Peace,Peace
The 14th Dalai Lama ,,Peace
Sidney Altman,Chemistry,Chemistry
Sidney Altman,North America,Chemistry
Harold E. Varmus,Medicine,Medicine
Harold E. Varmus,North America,Medicine
Richard E. Taylor,Physics,Physics
Richard E. Taylor,North America,Physics
William F. Sharpe,Economic Sciences,Economic Sciences
William F. Sharpe,North America,Economic Sciences
Octavio Paz,Literature,Literature
Octavio Paz,,Literature
Joseph E. Murray,Medicine,Medicine
Joseph E. Murray,North America,Medicine
Jerome I. Friedman,Physics,Physics
Jerome I. Friedman,North America,Physics
Mikhail Gorbachev,Peace,Peace
Mikhail Gorbachev,,Peace
Merton H. Miller,Economic Sciences,Economic Sciences
Merton H. Miller,North America,Economic Sciences
Henry W. Kendall,Physics,Physics
Henry W. Kendall,North America,Physics
E. Donnall Thomas,Medicine,Medicine
E. Donnall Thomas,North America,Medicine
Harry M. Markowitz,Economic Sciences,Economic Sciences
Harry M. Markowitz,North America,Economic Sciences
Elias James Corey,Chemistry,Chemistry
Elias James Corey,North America,Chemistry
Ronald H. Coase,Economic Sciences,Economic Sciences
Ronald H. Coase,North America,Economic Sciences
Aung San Suu Kyi ,Peace,Peace
Aung San Suu Kyi ,,Peace
Pierre-Gilles de Gennes,Physics,Physics
Pierre-Gilles de Gennes,Europe,Physics
Bert Sakmann,Medicine,Medicine
Bert Sakmann,Europe,Medicine
Nadine Gordimer,Literature,Literature
Nadine Gordimer,,Literature
Richard R. Ernst,Chemistry,Chemistry
Richard R. Ernst,Europe,Chemistry
Erwin Neher,Medicine,Medicine
Erwin Neher,Europe,Medicine
Rigoberta Menchú Tum,Peace,Peace
Rigoberta Menchú Tum,,Peace
Derek Walcott,Literature,Literature
Derek Walcott,,Literature
Rudolph A. Marcus,Chemistry,Chemistry
Rudolph A. Marcus,North America,Chemistry
Gary Becker,Economic Sciences,Economic Sciences
Gary Becker,North America,Economic Sciences
Georges Charpak,Physics,Physics
Georges Charpak,Europe,Physics
Edwin G. Krebs,Medicine,Medicine
Edwin G. Krebs,North America,Medicine
Edmond H. Fischer,Medicine,Medicine
Edmond H. Fischer,North America,Medicine
Richard J. Roberts,Medicine,Medicine
Richard J. Roberts,North America,Medicine
Toni Morrison,Literature,Literature
Toni Morrison,,Literature
Phillip A. Sharp,Medicine,Medicine
Phillip A. Sharp,North America,Medicine
Joseph H. Taylor Jr.,Physics,Physics
Joseph H. Taylor Jr.,North America,Physics
Robert W. Fogel,Economic Sciences,Economic Sciences
Robert W. Fogel,North America,Economic Sciences
Douglass C. North,Economic Sciences,Economic Sciences
Douglass C. North,North America,Economic Sciences
F.W. de Klerk,Peace,Peace
F.W. de Klerk,,Peace
Kary B. Mullis,Chemistry,Chemistry
Kary B. Mullis,,Chemistry
Michael Smith,Chemistry,Chemistry
Michael Smith,North America,Chemistry
Nelson Mandela,Peace,Peace
Nelson Mandela,,Peace
Russell A. Hulse,Physics,Physics
Russell A. Hulse,North America,Physics
Bertram N. Brockhouse,Physics,Physics
Bertram N. Brockhouse,North America,Physics
Alfred G. Gilman,Medicine,Medicine
Alfred G. Gilman,North America,Medicine
John C. Harsanyi,Economic Sciences,Economic Sciences
John C. Harsanyi,North America,Economic Sciences
Shimon Peres,Peace,Peace
Shimon Peres,,Peace
Clifford G. Shull,Physics,Physics
Clifford G. Shull,North America,Physics
John F. Nash Jr.,Economic Sciences,Economic Sciences
John F. Nash Jr.,North America,Economic Sciences
George A. Olah,Chemistry,Chemistry
George A. Olah,North America,Chemistry
Reinhard Selten,Economic Sciences,Economic Sciences
Reinhard Selten,Europe,Economic Sciences
Kenzaburo Oe,Literature,Literature
Kenzaburo Oe,,Literature
Yasser Arafat,Peace,Peace
Yasser Arafat,,Peace
Martin Rodbell,Medicine,Medicine
Martin Rodbell,North America,Medicine
Yitzhak Rabin,Peace,Peace
Yitzhak Rabin,,Peace
Eric F. Wieschaus,Medicine,Medicine
Eric F. Wieschaus,North America,Medicine
Martin L. Perl,Physics,Physics
Martin L. Perl,North America,Physics
Edward B. Lewis,Medicine,Medicine
Edward B. Lewis,North America,Medicine
Frederick Reines,Physics,Physics
Frederick Reines,North America,Physics
Mario J. Molina,Chemistry,Chemistry
Mario J. Molina,North America,Chemistry
Robert E. Lucas Jr.,Economic Sciences,Economic Sciences
Robert E. Lucas Jr.,North America,Economic Sciences
Joseph Rotblat,Peace,Peace
Joseph Rotblat,,Peace
Seamus Heaney,Literature,Literature
Seamus Heaney,,Literature
Paul J. Crutzen,Chemistry,Chemistry
Paul J. Crutzen,Europe,Chemistry
Christiane Nüsslein-Volhard,Medicine,Medicine
Christiane Nüsslein-Volhard,Europe,Medicine
F. Sherwood Rowland,Chemistry,Chemistry
F. Sherwood Rowland,North America,Chemistry
Robert F. Curl Jr.,Chemistry,Chemistry
Robert F. Curl Jr.,North America,Chemistry
Wislawa Szymborska,Literature,Literature
Wislawa Szymborska,,Literature
James A. Mirrlees,Economic Sciences,Economic Sciences
James A. Mirrlees,Europe,Economic Sciences
Rolf M. Zinkernagel,Medicine,Medicine
Rolf M. Zinkernagel,Europe,Medicine
David M. Lee,Physics,Physics
David M. Lee,North America,Physics
Sir Harold Kroto,Chemistry,Chemistry
Sir Harold Kroto,Europe,Chemistry
Robert C. Richardson,Physics,Physics
Robert C. Richardson,North America,Physics
Peter C. Doherty,Medicine,Medicine
Peter C. Doherty,North America,Medicine
José Ramos-Horta,Peace,Peace
José Ramos-Horta,,Peace
Douglas D. Osheroff,Physics,Physics
Douglas D. Osheroff,North America,Physics
Carlos Filipe Ximenes Belo,Peace,Peace
Carlos Filipe Ximenes Belo,,Peace
William Vickrey,Economic Sciences,Economic Sciences
William Vickrey,North America,Economic Sciences
Richard E. Smalley,Chemistry,Chemistry
Richard E. Smalley,North America,Chemistry
Jody Williams,Peace,Peace
Jody Williams,,Peace
Claude Cohen-Tannoudji,Physics,Physics
Claude Cohen-Tannoudji,Europe,Physics
William D. Phillips,Physics,Physics
William D. Phillips,North America,Physics
Jens C. Skou,Chemistry,Chemistry
Jens C. Skou,Europe,Chemistry
Robert C. Merton,Economic Sciences,Economic Sciences
Robert C. Merton,North America,Economic Sciences
Paul D. Boyer,Chemistry,Chemistry
Paul D. Boyer,North America,Chemistry
Dario Fo,Literature,Literature
Dario Fo,,Literature
John E. Walker,Chemistry,Chemistry
John E. Walker,Europe,Chemistry
Steven Chu,Physics,Physics
Steven Chu,North America,Physics
Stanley B. Prusiner,Medicine,Medicine
Stanley B. Prusiner,North America,Medicine
Myron Scholes,Economic Sciences,Economic Sciences
Myron Scholes,North America,Economic Sciences
José Saramago,Literature,Literature
José Saramago,,Literature
Amartya Sen,Economic Sciences,Economic Sciences
Amartya Sen,Europe,Economic Sciences
Ferid Murad,Medicine,Medicine
Ferid Murad,North America,Medicine
John Hume,Peace,Peace
John Hume,,Peace
John Pople,Chemistry,Chemistry
John Pople,North America,Chemistry
Robert B. Laughlin,Physics,Physics
Robert B. Laughlin,North America,Physics
Walter Kohn,Chemistry,Chemistry
Walter Kohn,North America,Chemistry
David Trimble,Peace,Peace
David Trimble,,Peace
Louis J. Ignarro,Medicine,Medicine
Louis J. Ignarro,North America,Medicine
Horst L. Störmer,Physics,Physics
Horst L. Störmer,North America,Physics
Robert F. Furchgott,Medicine,Medicine
Robert F. Furchgott,North America,Medicine
Daniel C. Tsui,Physics,Physics
Daniel C. Tsui,North America,Physics
Günter Grass,Literature,Literature
Günter Grass,,Literature
Günter Blobel,Medicine,Medicine
Günter Blobel,North America,Medicine
Gerardus 't Hooft,Physics,Physics
Gerardus 't Hooft,Europe,Physics
Ahmed Zewail,Chemistry,Chemistry
Ahmed Zewail,North America,Chemistry
Martinus J.G. Veltman,Physics,Physics
Martinus J.G. Veltman,,Physics
Robert Mundell,Economic Sciences,Economic Sciences
Robert Mundell,North America,Economic Sciences
Paul Greengard,Medicine,Medicine
Paul Greengard,North America,Medicine
Zhores Alferov,Physics,Physics
Zhores Alferov,Russia,Physics
Jack Kilby,Physics,Physics
Jack Kilby,North America,Physics
Eric Kandel,Medicine,Medicine
Eric Kandel,North America,Medicine
James J. Heckman,Economic Sciences,Economic Sciences
James J. Heckman,North America,Economic Sciences
Herbert Kroemer,Physics,Physics
Herbert Kroemer,North America,Physics
Gao Xingjian,Literature,Literature
Gao Xingjian,,Literature
Daniel L. McFadden,Economic Sciences,Economic Sciences
Daniel L. McFadden,North America,Economic Sciences
Alan Heeger,Chemistry,Chemistry
Alan Heeger,North America,Chemistry
Kim Dae-jung,Peace,Peace
Kim Dae-jung,,Peace
Arvid Carlsson,Medicine,Medicine
Arvid Carlsson,Europe,Medicine
Hideki Shirakawa,Chemistry,Chemistry
Hideki Shirakawa,Japan,Chemistry
Alan MacDiarmid,Chemistry,Chemistry
Alan MacDiarmid,North America,Chemistry
William Knowles,Chemistry,Chemistry
William Knowles,,Chemistry
V. S. Naipaul,Literature,Literature
V. S. Naipaul,,Literature
Sir Paul Nurse,Medicine,Medicine
Sir Paul Nurse,Europe,Medicine
Tim Hunt,Medicine,Medicine
Tim Hunt,Europe,Medicine
Wolfgang Ketterle,Physics,Physics
Wolfgang Ketterle,North America,Physics
Ryoji Noyori,Chemistry,Chemistry
Ryoji Noyori,Japan,Chemistry
A. Michael Spence,Economic Sciences,Economic Sciences
A. Michael Spence,North America,Economic Sciences
Kofi Annan,Peace,Peace
Kofi Annan,,Peace
Barry Sharpless,Chemistry,Chemistry
Barry Sharpless,North America,Chemistry
Joseph E. Stiglitz,Economic Sciences,Economic Sciences
Joseph E. Stiglitz,North America,Economic Sciences
Leland Hartwell,Medicine,Medicine
Leland Hartwell,North America,Medicine
Carl Wieman,Physics,Physics
Carl Wieman,North America,Physics
George A. Akerlof,Economic Sciences,Economic Sciences
George A. Akerlof,North America,Economic Sciences
Eric Cornell,Physics,Physics
Eric Cornell,North America,Physics
Sydney Brenner,Medicine,Medicine
Sydney Brenner,North America,Medicine
Daniel Kahneman,Economic Sciences,Economic Sciences
Daniel Kahneman,North America,Economic Sciences
Jimmy Carter,Peace,Peace
Jimmy Carter,,Peace
John B. Fenn,Chemistry,Chemistry
John B. Fenn,North America,Chemistry
John E. Sulston,Medicine,Medicine
John E. Sulston,Europe,Medicine
Vernon L. Smith,Economic Sciences,Economic Sciences
Vernon L. Smith,North America,Economic Sciences
Koichi Tanaka,Chemistry,Chemistry
Koichi Tanaka,Japan,Chemistry
Kurt Wüthrich,Chemistry,Chemistry
Kurt Wüthrich,Europe,Chemistry
H. Robert Horvitz,Medicine,Medicine
H. Robert Horvitz,North America,Medicine
Masatoshi Koshiba,Physics,Physics
Masatoshi Koshiba,Japan,Physics
Imre Kertész,Literature,Literature
Imre Kertész,,Literature
Raymond Davis Jr.,Physics,Physics
Raymond Davis Jr.,North America,Physics
Riccardo Giacconi,Physics,Physics
Riccardo Giacconi,North America,Physics
Anthony J. Leggett,Physics,Physics
Anthony J. Leggett,North America,Physics
Sir Peter Mansfield,Medicine,Medicine
Sir Peter Mansfield,Europe,Medicine
Robert F. Engle III,Economic Sciences,Economic Sciences
Robert F. Engle III,North America,Economic Sciences
Shirin Ebadi,Peace,Peace
Shirin Ebadi,,Peace
Roderick MacKinnon,Chemistry,Chemistry
Roderick MacKinnon,North America,Chemistry
J. M. Coetzee,Literature,Literature
J. M. Coetzee,,Literature
Clive W.J. Granger,Economic Sciences,Economic Sciences
Clive W.J. Granger,North America,Economic Sciences
Paul C. Lauterbur,Medicine,Medicine
Paul C. Lauterbur,North America,Medicine
Peter Agre,Chemistry,Chemistry
Peter Agre,North America,Chemistry
Vitaly L. Ginzburg,Physics,Physics
Vitaly L. Ginzburg,Russia,Physics
Alexei Abrikosov,Physics,Physics
Alexei Abrikosov,North America,Physics
Frank Wilczek,Physics,Physics
Frank Wilczek,North America,Physics
Edward C. Prescott,Economic Sciences,Economic Sciences
Edward C. Prescott,North America,Economic Sciences
Richard Axel,Medicine,Medicine
Richard Axel,North America,Medicine
Elfriede Jelinek,Literature,Literature
Elfriede Jelinek,,Literature
Linda B. Buck,Medicine,Medicine
Linda B. Buck,North America,Medicine
Wangari Maathai,Peace,Peace
Wangari Maathai,,Peace
David J. Gross,Physics,Physics
David J. Gross,North America,Physics
Irwin Rose,Chemistry,Chemistry
Irwin Rose,North America,Chemistry
Avram Hershko,Chemistry,Chemistry
Avram Hershko,Israel,Chemistry
Aaron Ciechanover,Chemistry,Chemistry
Aaron Ciechanover,Israel,Chemistry
Finn E. Kydland,Economic Sciences,Economic Sciences
Finn E. Kydland,North America,Economic Sciences
H. David Politzer,Physics,Physics
H. David Politzer,North America,Physics
Robert H. Grubbs,Chemistry,Chemistry
Robert H. Grubbs,North America,Chemistry
Barry J. Marshall,Medicine,Medicine
Barry J. Marshall,Australia,Medicine
