awardYear,category,name,gender,birth_date,affiliation_1,birth_cityNow,birth_countryNow,motivation,award_link,laureate_link,img_online_path,img_local_path,age,affiliation_country,affiliation_zone,birth_zone,affiliation_lat,affiliation_lon,affiliation_zone_lat,affiliation_zone_lon,birth_lat,birth_lon,birth_zone_lat,birth_zone_lon
1934,Chemistry,Harold C. Urey,male,1893-04-29,"Columbia University, New York, NY, USA","Walkerton, IN",USA,for his discovery of heavy hydrogen,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1934,http://masterdataapi.nobelprize.org/2/laureate/192,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Harold_Urey.jpg/220px-Harold_Urey.jpg,faces/Q179777.jpg,41,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1934,Medicine,George H. Whipple,male,1878-08-28,"University of Rochester, Rochester, NY, USA","Ashland, NH",USA,for their discoveries concerning liver therapy in cases of anaemia,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1934,http://masterdataapi.nobelprize.org/2/laureate/326,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/George_Whipple_nobel.jpg/220px-George_Whipple_nobel.jpg,faces/Q273238.jpg,56,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1934,Literature,Luigi Pirandello,male,1867-06-28,,"Agrigento, Sicily",Italy,for his bold and ingenious revival of dramatic and scenic art,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1934,http://masterdataapi.nobelprize.org/2/laureate/607,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Luigi_Pirandello_1932.jpg/220px-Luigi_Pirandello_1932.jpg,faces/Q1403.jpg,67,,,Europe,0.0,0.0,0.0,0.0,42.41,12.74,48.55,5.72
1934,Peace,Arthur Henderson,male,1863-09-13,,Glasgow,Scotland,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1934,http://masterdataapi.nobelprize.org/2/laureate/499,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/1910_Arthur_Henderson.jpg/220px-1910_Arthur_Henderson.jpg,faces/Q208665.jpg,71,,,Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1935,Chemistry,Frédéric Joliot,male,1900-03-19,"Institut du Radium, Paris, France",Paris,France,in recognition of their synthesis of new radioactive elements,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1935,http://masterdataapi.nobelprize.org/2/laureate/193,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Joliot-Curie_Harcourt_1948_3.jpg/220px-Joliot-Curie_Harcourt_1948_3.jpg,faces/Q150989.jpg,35,France,Europe,Europe,46.97,2.7,48.55,5.72,46.97,2.7,48.55,5.72
1935,Chemistry,Irène Joliot-Curie,female,1897-09-12,"Institut du Radium, Paris, France",Paris,France,in recognition of their synthesis of new radioactive elements,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1935,http://masterdataapi.nobelprize.org/2/laureate/194,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Joliot-curie.jpg/220px-Joliot-curie.jpg,faces/Q7504.jpg,38,France,Europe,Europe,46.97,2.7,48.55,5.72,46.97,2.7,48.55,5.72
1935,Physics,James Chadwick,male,1891-10-20,"Liverpool University, Liverpool, United Kingdom",Manchester,United Kingdom,for the discovery of the neutron,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1935,http://masterdataapi.nobelprize.org/2/laureate/41,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/James_Chadwick.jpg/220px-James_Chadwick.jpg,faces/Q80884.jpg,44,United Kingdom,Europe,Europe,52.94,-1.23,48.55,5.72,52.94,-1.23,48.55,5.72
1935,Peace,Carl von Ossietzky,male,1889-10-03,,Hamburg,Germany,for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1935,http://masterdataapi.nobelprize.org/2/laureate/500,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Bundesarchiv_Bild_183-93516-0010%2C_Carl_von_Ossietzky.jpg/220px-Bundesarchiv_Bild_183-93516-0010%2C_Carl_von_Ossietzky.jpg,faces/Q76358.jpg,46,,,Europe,0.0,0.0,0.0,0.0,51.42,10.6,48.55,5.72
1935,Medicine,Hans Spemann,male,1869-06-27,"University of Freiburg im Breisgau, Breisgau, Germany",Stuttgart,Germany,for his discovery of the organizer effect in embryonic development,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1935,http://masterdataapi.nobelprize.org/2/laureate/329,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Hans_Spemann_nobel.jpg/220px-Hans_Spemann_nobel.jpg,faces/Q57568.jpg,66,Germany,Europe,Europe,51.42,10.6,48.55,5.72,51.42,10.6,48.55,5.72
1936,Chemistry,Peter Debye,male,1884-03-24,"Berlin University, Berlin, Germany",Maastricht,the Netherlands,for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1936,http://masterdataapi.nobelprize.org/2/laureate/195,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Debye100.jpg/220px-Debye100.jpg,faces/Q103835.jpg,52,Germany,Europe,Europe,51.42,10.6,48.55,5.72,52.52,5.74,48.55,5.72
