source,target,weight
Archibald V. Hill,Medicine,1
Archibald V. Hill,Europe,1
John Macleod,Medicine,1
John Macleod,North America,1
Fritz Pregl,Chemistry,1
Fritz Pregl,Europe,1
Frederick G. Banting,Medicine,1
Frederick G. Banting,North America,1
William Butler Yeats,Literature,1
Robert A. Millikan,Physics,1
Robert A. Millikan,North America,1
Manne Siegbahn,Physics,1
Manne Siegbahn,Europe,1
Willem Einthoven,Medicine,1
Willem Einthoven,Europe,1
Wladyslaw Reymont,Literature,1
Sir Austen Chamberlain,Peace,1
George Bernard Shaw,Literature,1
Gustav Hertz,Physics,1
Gustav Hertz,Europe,1
Charles G. Dawes,Peace,1
James Franck,Physics,1
James Franck,Europe,1
Richard Zsigmondy,Chemistry,1
Richard Zsigmondy,Europe,1
The Svedberg,Chemistry,1
The Svedberg,Europe,1
Grazia Deledda,Literature,1
Gustav Stresemann,Peace,1
Aristide Briand,Peace,1
Jean Baptiste Perrin,Physics,1
Jean Baptiste Perrin,Europe,1
Johannes Fibiger,Medicine,1
Johannes Fibiger,Europe,1
Ferdinand Buisson,Peace,1
Arthur H. Compton,Physics,1
Arthur H. Compton,North America,1
Julius Wagner-Jauregg,Medicine,1
Julius Wagner-Jauregg,Europe,1
Heinrich Wieland,Chemistry,1
Heinrich Wieland,Europe,1
Henri Bergson,Literature,1
C.T.R. Wilson,Physics,1
C.T.R. Wilson,Europe,1
Ludwig Quidde,Peace,1
Owen Willans Richardson,Physics,1
Owen Willans Richardson,Europe,1
Adolf Windaus,Chemistry,1
Adolf Windaus,Europe,1
Sigrid Undset,Literature,1
Charles Nicolle,Medicine,1
Charles Nicolle,Tunisia,1
Frank B. Kellogg,Peace,1
Arthur Harden,Chemistry,1
Arthur Harden,Europe,1
Sir Frederick Hopkins,Medicine,1
Sir Frederick Hopkins,Europe,1
Thomas Mann,Literature,1
Hans von Euler-Chelpin,Chemistry,1
Hans von Euler-Chelpin,Europe,1
Christiaan Eijkman,Medicine,1
Christiaan Eijkman,Europe,1
Louis de Broglie,Physics,1
Louis de Broglie,Europe,1
Sinclair Lewis,Literature,1
Hans Fischer,Chemistry,1
Hans Fischer,Europe,1
Nathan Söderblom,Peace,1
Sir Chandrasekhara Venkata Raman,Physics,1
Sir Chandrasekhara Venkata Raman,India,1
Karl Landsteiner,Medicine,1
Karl Landsteiner,North America,1
Friedrich Bergius,Chemistry,1
Friedrich Bergius,Europe,1
Otto Warburg,Medicine,1
Otto Warburg,Europe,1
Nicholas Murray Butler,Peace,1
Nicholas Murray Butler,North America,1
Jane Addams,Peace,1
Erik Axel Karlfeldt,Literature,1
Carl Bosch,Chemistry,1
Carl Bosch,Europe,1
John Galsworthy,Literature,1
Werner Heisenberg,Physics,1
Werner Heisenberg,Europe,1
Irving Langmuir,Chemistry,1
Irving Langmuir,North America,1
Edgar Adrian,Medicine,1
Edgar Adrian,Europe,1
Sir Charles Sherrington,Medicine,1
