source,target,weight
David H. Hubel,Medicine,1
David H. Hubel,North America,1
Roger W. Sperry,Medicine,1
Roger W. Sperry,North America,1
Elias Canetti,Literature,1
Torsten N. Wiesel,Medicine,1
Torsten N. Wiesel,North America,1
Kai M. Siegbahn,Physics,1
Kai M. Siegbahn,Europe,1
Kenneth G. Wilson,Physics,1
Kenneth G. Wilson,North America,1
Bengt I. Samuelsson,Medicine,1
Bengt I. Samuelsson,Europe,1
Alfonso García Robles,Peace,1
John R. Vane,Medicine,1
John R. Vane,Europe,1
Gabriel García Márquez,Literature,1
George J. Stigler,Economic Sciences,1
George J. Stigler,North America,1
Alva Myrdal,Peace,1
Aaron Klug,Chemistry,1
Aaron Klug,Europe,1
Sune K. Bergström,Medicine,1
Sune K. Bergström,Europe,1
Henry Taube,Chemistry,1
Henry Taube,North America,1
William A. Fowler,Physics,1
William A. Fowler,North America,1
Gerard Debreu,Economic Sciences,1
Gerard Debreu,North America,1
William Golding,Literature,1
Subramanyan Chandrasekhar,Physics,1
Subramanyan Chandrasekhar,North America,1
Lech Walesa,Peace,1
Barbara McClintock,Medicine,1
Barbara McClintock,North America,1
Georges J.F. Köhler,Medicine,1
Georges J.F. Köhler,Europe,1
Richard Stone,Economic Sciences,1
Richard Stone,Europe,1
Carlo Rubbia,Physics,1
Carlo Rubbia,Europe,1
Desmond Tutu,Peace,1
César Milstein,Medicine,1
César Milstein,Europe,1
Simon van der Meer,Physics,1
Simon van der Meer,Europe,1
Jaroslav Seifert,Literature,1
Bruce Merrifield,Chemistry,1
Bruce Merrifield,North America,1
Niels K. Jerne,Medicine,1
Niels K. Jerne,Europe,1
Jerome Karle,Chemistry,1
Jerome Karle,North America,1
Claude Simon,Literature,1
Klaus von Klitzing,Physics,1
Klaus von Klitzing,Europe,1
Michael S. Brown,Medicine,1
Michael S. Brown,North America,1
Herbert A. Hauptman,Chemistry,1
Herbert A. Hauptman,North America,1
Franco Modigliani,Economic Sciences,1
Franco Modigliani,North America,1
Joseph L. Goldstein,Medicine,1
Joseph L. Goldstein,North America,1
Heinrich Rohrer,Physics,1
Heinrich Rohrer,Europe,1
Gerd Binnig,Physics,1
Gerd Binnig,Europe,1
Elie Wiesel,Peace,1
Yuan T. Lee,Chemistry,1
Yuan T. Lee,North America,1
Ernst Ruska,Physics,1
Ernst Ruska,Europe,1
Stanley Cohen,Medicine,1
Stanley Cohen,North America,1
Dudley R. Herschbach,Chemistry,1
Dudley R. Herschbach,North America,1
Wole Soyinka,Literature,1
John C. Polanyi,Chemistry,1
John C. Polanyi,North America,1
James M. Buchanan Jr.,Economic Sciences,1
James M. Buchanan Jr.,North America,1
Rita Levi-Montalcini,Medicine,1
Rita Levi-Montalcini,Europe,1
Charles J. Pedersen,Chemistry,1
Charles J. Pedersen,North America,1
K. Alex Müller,Physics,1
K. Alex Müller,Europe,1
Oscar Arias Sánchez,Peace,1
Jean-Marie Lehn,Chemistry,1
Jean-Marie Lehn,Europe,1
Joseph Brodsky,Literature,1
Susumu Tonegawa,Medicine,1
Susumu Tonegawa,North America,1
J. Georg Bednorz,Physics,1
J. Georg Bednorz,Europe,1
Robert M. Solow,Economic Sciences,1
Robert M. Solow,North America,1
Donald J. Cram,Chemistry,1
Donald J. Cram,North America,1
Hartmut Michel,Chemistry,1
Hartmut Michel,Europe,1
Gertrude B. Elion,Medicine,1
Gertrude B. Elion,North America,1
Johann Deisenhofer,Chemistry,1
Johann Deisenhofer,North America,1
Leon M. Lederman,Physics,1
Leon M. Lederman,North America,1
Robert Huber,Chemistry,1
Robert Huber,Europe,1
Jack Steinberger,Physics,1
Jack Steinberger,Europe,1
Maurice Allais,Economic Sciences,1
Maurice Allais,Europe,1
Sir James W. Black,Medicine,1
Sir James W. Black,Europe,1
Naguib Mahfouz,Literature,1
George H. Hitchings,Medicine,1
George H. Hitchings,North America,1
Melvin Schwartz,Physics,1
Melvin Schwartz,North America,1
Camilo José Cela,Literature,1
Wolfgang Paul,Physics,1
Wolfgang Paul,Europe,1
Thomas R. Cech,Chemistry,1
Thomas R. Cech,North America,1
Hans G. Dehmelt,Physics,1
Hans G. Dehmelt,North America,1
J. Michael Bishop,Medicine,1
J. Michael Bishop,North America,1
Norman F. Ramsey,Physics,1
Norman F. Ramsey,North America,1
Trygve Haavelmo,Economic Sciences,1
Trygve Haavelmo,Europe,1
The 14th Dalai Lama ,Peace,1
Sidney Altman,Chemistry,1
Sidney Altman,North America,1
Harold E. Varmus,Medicine,1
Harold E. Varmus,North America,1
Richard E. Taylor,Physics,1
Richard E. Taylor,North America,1
William F. Sharpe,Economic Sciences,1
William F. Sharpe,North America,1
Octavio Paz,Literature,1
Joseph E. Murray,Medicine,1
Joseph E. Murray,North America,1
Jerome I. Friedman,Physics,1
Jerome I. Friedman,North America,1
Mikhail Gorbachev,Peace,1
Merton H. Miller,Economic Sciences,1
Merton H. Miller,North America,1
Henry W. Kendall,Physics,1
Henry W. Kendall,North America,1
E. Donnall Thomas,Medicine,1
E. Donnall Thomas,North America,1
Harry M. Markowitz,Economic Sciences,1
Harry M. Markowitz,North America,1
Elias James Corey,Chemistry,1
Elias James Corey,North America,1
Ronald H. Coase,Economic Sciences,1
Ronald H. Coase,North America,1
Aung San Suu Kyi ,Peace,1
Pierre-Gilles de Gennes,Physics,1
Pierre-Gilles de Gennes,Europe,1
Bert Sakmann,Medicine,1
Bert Sakmann,Europe,1
Nadine Gordimer,Literature,1
Richard R. Ernst,Chemistry,1
Richard R. Ernst,Europe,1
Erwin Neher,Medicine,1
Erwin Neher,Europe,1
Rigoberta Menchú Tum,Peace,1
Derek Walcott,Literature,1
Rudolph A. Marcus,Chemistry,1
Rudolph A. Marcus,North America,1
Gary Becker,Economic Sciences,1
Gary Becker,North America,1
Georges Charpak,Physics,1
Georges Charpak,Europe,1
Edwin G. Krebs,Medicine,1
Edwin G. Krebs,North America,1
Edmond H. Fischer,Medicine,1
Edmond H. Fischer,North America,1
Richard J. Roberts,Medicine,1
Richard J. Roberts,North America,1
Toni Morrison,Literature,1
Phillip A. Sharp,Medicine,1
Phillip A. Sharp,North America,1
Joseph H. Taylor Jr.,Physics,1
Joseph H. Taylor Jr.,North America,1
Robert W. Fogel,Economic Sciences,1
Robert W. Fogel,North America,1
Douglass C. North,Economic Sciences,1
Douglass C. North,North America,1
F.W. de Klerk,Peace,1
Kary B. Mullis,Chemistry,1
Michael Smith,Chemistry,1
Michael Smith,North America,1
Nelson Mandela,Peace,1
Russell A. Hulse,Physics,1
Russell A. Hulse,North America,1
Bertram N. Brockhouse,Physics,1
Bertram N. Brockhouse,North America,1
Alfred G. Gilman,Medicine,1
Alfred G. Gilman,North America,1
John C. Harsanyi,Economic Sciences,1
John C. Harsanyi,North America,1
Shimon Peres,Peace,1
Clifford G. Shull,Physics,1
Clifford G. Shull,North America,1
John F. Nash Jr.,Economic Sciences,1
John F. Nash Jr.,North America,1
George A. Olah,Chemistry,1
George A. Olah,North America,1
Reinhard Selten,Economic Sciences,1
Reinhard Selten,Europe,1
Kenzaburo Oe,Literature,1
Yasser Arafat,Peace,1
Martin Rodbell,Medicine,1
Martin Rodbell,North America,1
Yitzhak Rabin,Peace,1
Eric F. Wieschaus,Medicine,1
Eric F. Wieschaus,North America,1
Martin L. Perl,Physics,1
Martin L. Perl,North America,1
Edward B. Lewis,Medicine,1
Edward B. Lewis,North America,1
Frederick Reines,Physics,1
Frederick Reines,North America,1
Mario J. Molina,Chemistry,1
Mario J. Molina,North America,1
Robert E. Lucas Jr.,Economic Sciences,1
Robert E. Lucas Jr.,North America,1
Joseph Rotblat,Peace,1
Seamus Heaney,Literature,1
Paul J. Crutzen,Chemistry,1
Paul J. Crutzen,Europe,1
Christiane Nüsslein-Volhard,Medicine,1
Christiane Nüsslein-Volhard,Europe,1
F. Sherwood Rowland,Chemistry,1
F. Sherwood Rowland,North America,1
Robert F. Curl Jr.,Chemistry,1
Robert F. Curl Jr.,North America,1
Wislawa Szymborska,Literature,1
James A. Mirrlees,Economic Sciences,1
James A. Mirrlees,Europe,1
Rolf M. Zinkernagel,Medicine,1
Rolf M. Zinkernagel,Europe,1
David M. Lee,Physics,1
David M. Lee,North America,1
Sir Harold Kroto,Chemistry,1
Sir Harold Kroto,Europe,1
Robert C. Richardson,Physics,1
Robert C. Richardson,North America,1
Peter C. Doherty,Medicine,1
Peter C. Doherty,North America,1
José Ramos-Horta,Peace,1
Douglas D. Osheroff,Physics,1
Douglas D. Osheroff,North America,1
Carlos Filipe Ximenes Belo,Peace,1
William Vickrey,Economic Sciences,1
William Vickrey,North America,1
Richard E. Smalley,Chemistry,1
Richard E. Smalley,North America,1
Jody Williams,Peace,1
Claude Cohen-Tannoudji,Physics,1
Claude Cohen-Tannoudji,Europe,1
William D. Phillips,Physics,1
William D. Phillips,North America,1
Jens C. Skou,Chemistry,1
Jens C. Skou,Europe,1
Robert C. Merton,Economic Sciences,1
Robert C. Merton,North America,1
Paul D. Boyer,Chemistry,1
Paul D. Boyer,North America,1
Dario Fo,Literature,1
John E. Walker,Chemistry,1
John E. Walker,Europe,1
Steven Chu,Physics,1
Steven Chu,North America,1
Stanley B. Prusiner,Medicine,1
Stanley B. Prusiner,North America,1
Myron Scholes,Economic Sciences,1
Myron Scholes,North America,1
José Saramago,Literature,1
Amartya Sen,Economic Sciences,1
Amartya Sen,Europe,1
Ferid Murad,Medicine,1
Ferid Murad,North America,1
John Hume,Peace,1
John Pople,Chemistry,1
John Pople,North America,1
Robert B. Laughlin,Physics,1
Robert B. Laughlin,North America,1
Walter Kohn,Chemistry,1
Walter Kohn,North America,1
David Trimble,Peace,1
Louis J. Ignarro,Medicine,1
Louis J. Ignarro,North America,1
Horst L. Störmer,Physics,1
Horst L. Störmer,North America,1
Robert F. Furchgott,Medicine,1
Robert F. Furchgott,North America,1
Daniel C. Tsui,Physics,1
Daniel C. Tsui,North America,1
Günter Grass,Literature,1
Günter Blobel,Medicine,1
Günter Blobel,North America,1
Gerardus 't Hooft,Physics,1
Gerardus 't Hooft,Europe,1
Ahmed Zewail,Chemistry,1
Ahmed Zewail,North America,1
Martinus J.G. Veltman,Physics,1
Robert Mundell,Economic Sciences,1
Robert Mundell,North America,1
Paul Greengard,Medicine,1
Paul Greengard,North America,1
Zhores Alferov,Physics,1
Zhores Alferov,Russia,1
Jack Kilby,Physics,1
Jack Kilby,North America,1
Eric Kandel,Medicine,1
Eric Kandel,North America,1
James J. Heckman,Economic Sciences,1
James J. Heckman,North America,1
Herbert Kroemer,Physics,1
Herbert Kroemer,North America,1
Gao Xingjian,Literature,1
Daniel L. McFadden,Economic Sciences,1
Daniel L. McFadden,North America,1
Alan Heeger,Chemistry,1
Alan Heeger,North America,1
Kim Dae-jung,Peace,1
Arvid Carlsson,Medicine,1
Arvid Carlsson,Europe,1
Hideki Shirakawa,Chemistry,1
Hideki Shirakawa,Japan,1
Alan MacDiarmid,Chemistry,1
Alan MacDiarmid,North America,1
William Knowles,Chemistry,1
V. S. Naipaul,Literature,1
Sir Paul Nurse,Medicine,1
Sir Paul Nurse,Europe,1
Tim Hunt,Medicine,1
Tim Hunt,Europe,1
Wolfgang Ketterle,Physics,1
Wolfgang Ketterle,North America,1
Ryoji Noyori,Chemistry,1
Ryoji Noyori,Japan,1
A. Michael Spence,Economic Sciences,1
A. Michael Spence,North America,1
Kofi Annan,Peace,1
Barry Sharpless,Chemistry,1
Barry Sharpless,North America,1
Joseph E. Stiglitz,Economic Sciences,1
Joseph E. Stiglitz,North America,1
Leland Hartwell,Medicine,1
Leland Hartwell,North America,1
Carl Wieman,Physics,1
Carl Wieman,North America,1
George A. Akerlof,Economic Sciences,1
George A. Akerlof,North America,1
Eric Cornell,Physics,1
Eric Cornell,North America,1
Sydney Brenner,Medicine,1
Sydney Brenner,North America,1
Daniel Kahneman,Economic Sciences,1
Daniel Kahneman,North America,1
Jimmy Carter,Peace,1
John B. Fenn,Chemistry,1
John B. Fenn,North America,1
John E. Sulston,Medicine,1
John E. Sulston,Europe,1
Vernon L. Smith,Economic Sciences,1
Vernon L. Smith,North America,1
Koichi Tanaka,Chemistry,1
Koichi Tanaka,Japan,1
Kurt Wüthrich,Chemistry,1
Kurt Wüthrich,Europe,1
H. Robert Horvitz,Medicine,1
H. Robert Horvitz,North America,1
Masatoshi Koshiba,Physics,1
Masatoshi Koshiba,Japan,1
Imre Kertész,Literature,1
Raymond Davis Jr.,Physics,1
Raymond Davis Jr.,North America,1
Riccardo Giacconi,Physics,1
Riccardo Giacconi,North America,1
Anthony J. Leggett,Physics,1
Anthony J. Leggett,North America,1
Sir Peter Mansfield,Medicine,1
Sir Peter Mansfield,Europe,1
Robert F. Engle III,Economic Sciences,1
Robert F. Engle III,North America,1
Shirin Ebadi,Peace,1
Roderick MacKinnon,Chemistry,1
Roderick MacKinnon,North America,1
J. M. Coetzee,Literature,1
Clive W.J. Granger,Economic Sciences,1
Clive W.J. Granger,North America,1
Paul C. Lauterbur,Medicine,1
Paul C. Lauterbur,North America,1
Peter Agre,Chemistry,1
Peter Agre,North America,1
Vitaly L. Ginzburg,Physics,1
Vitaly L. Ginzburg,Russia,1
Alexei Abrikosov,Physics,1
Alexei Abrikosov,North America,1
Frank Wilczek,Physics,1
Frank Wilczek,North America,1
Edward C. Prescott,Economic Sciences,1
Edward C. Prescott,North America,1
Richard Axel,Medicine,1
Richard Axel,North America,1
Elfriede Jelinek,Literature,1
Linda B. Buck,Medicine,1
Linda B. Buck,North America,1
Wangari Maathai,Peace,1
David J. Gross,Physics,1
David J. Gross,North America,1
Irwin Rose,Chemistry,1
Irwin Rose,North America,1
Avram Hershko,Chemistry,1
Avram Hershko,Israel,1
Aaron Ciechanover,Chemistry,1
Aaron Ciechanover,Israel,1
Finn E. Kydland,Economic Sciences,1
Finn E. Kydland,North America,1
H. David Politzer,Physics,1
H. David Politzer,North America,1
Robert H. Grubbs,Chemistry,1
Robert H. Grubbs,North America,1
Barry J. Marshall,Medicine,1
Barry J. Marshall,Australia,1
Theodor W. Hänsch,Physics,1
Theodor W. Hänsch,Europe,1
Thomas C. Schelling,Economic Sciences,1
Thomas C. Schelling,North America,1
Roy J. Glauber,Physics,1
Roy J. Glauber,North America,1
Robert J. Aumann,Economic Sciences,1
Robert J. Aumann,Israel,1
Yves Chauvin,Chemistry,1
Yves Chauvin,Europe,1
J. Robin Warren,Medicine,1
Richard R. Schrock,Chemistry,1
Richard R. Schrock,North America,1
Harold Pinter,Literature,1
John L. Hall,Physics,1
John L. Hall,North America,1
Mohamed ElBaradei,Peace,1
George F. Smoot,Physics,1
George F. Smoot,North America,1
Edmund S. Phelps,Economic Sciences,1
Edmund S. Phelps,North America,1
Craig C. Mello,Medicine,1
Craig C. Mello,North America,1
John C. Mather,Physics,1
John C. Mather,North America,1
Muhammad Yunus,Peace,1
Roger D. Kornberg,Chemistry,1
Roger D. Kornberg,North America,1
Andrew Z. Fire,Medicine,1
Andrew Z. Fire,North America,1
Orhan Pamuk,Literature,1
Doris Lessing,Literature,1
Gerhard Ertl,Chemistry,1
Gerhard Ertl,Europe,1
Sir Martin J. Evans,Medicine,1
Sir Martin J. Evans,Europe,1
Albert Fert,Physics,1
Albert Fert,Europe,1
Roger B. Myerson,Economic Sciences,1
Roger B. Myerson,North America,1
Al Gore,Peace,1
Eric S. Maskin,Economic Sciences,1
Eric S. Maskin,North America,1
Oliver Smithies,Medicine,1
Oliver Smithies,North America,1
Peter Grünberg,Physics,1
Peter Grünberg,Europe,1
Mario R. Capecchi,Medicine,1
Mario R. Capecchi,North America,1
Leonid Hurwicz,Economic Sciences,1
Leonid Hurwicz,North America,1
Paul Krugman,Economic Sciences,1
Paul Krugman,North America,1
Yoichiro Nambu,Physics,1
Yoichiro Nambu,North America,1
Françoise Barré-Sinoussi,Medicine,1
Françoise Barré-Sinoussi,Europe,1
Luc Montagnier,Medicine,1
Luc Montagnier,Europe,1
Roger Y. Tsien,Chemistry,1
Roger Y. Tsien,North America,1
Osamu Shimomura,Chemistry,1
Osamu Shimomura,North America,1
Jean-Marie Gustave Le Clézio,Literature,1
Harald zur Hausen,Medicine,1
Harald zur Hausen,Europe,1
Toshihide Maskawa,Physics,1
Toshihide Maskawa,Japan,1
Martti Ahtisaari,Peace,1
Makoto Kobayashi,Physics,1
Makoto Kobayashi,Japan,1
Martin Chalfie,Chemistry,1
Martin Chalfie,North America,1
Oliver E. Williamson,Economic Sciences,1
Oliver E. Williamson,North America,1
Jack W. Szostak,Medicine,1
Jack W. Szostak,North America,1
Herta Müller,Literature,1
Willard S. Boyle,Physics,1
Willard S. Boyle,North America,1
Charles K. Kao,Physics,1
Charles K. Kao,Europe,1
Carol W. Greider,Medicine,1
Carol W. Greider,North America,1
Barack H. Obama,Peace,1
Elinor Ostrom,Economic Sciences,1
Elinor Ostrom,North America,1
Thomas A. Steitz,Chemistry,1
Thomas A. Steitz,North America,1
Ada E. Yonath,Chemistry,1
Ada E. Yonath,Israel,1
Venkatraman Ramakrishnan,Chemistry,1
Venkatraman Ramakrishnan,Europe,1
George E. Smith,Physics,1
George E. Smith,North America,1
Elizabeth H. Blackburn,Medicine,1
Elizabeth H. Blackburn,North America,1
Richard F. Heck,Chemistry,1
Richard F. Heck,North America,1
Mario Vargas Llosa,Literature,1
Akira Suzuki,Chemistry,1
Akira Suzuki,Japan,1
Konstantin Novoselov,Physics,1
Konstantin Novoselov,Europe,1
Robert G. Edwards,Medicine,1
Robert G. Edwards,Europe,1
Peter A. Diamond,Economic Sciences,1
Peter A. Diamond,North America,1
Andre Geim,Physics,1
Andre Geim,Europe,1
Dale T. Mortensen,Economic Sciences,1
Dale T. Mortensen,North America,1
Ei-ichi Negishi,Chemistry,1
Ei-ichi Negishi,North America,1
Christopher A. Pissarides,Economic Sciences,1
Christopher A. Pissarides,Europe,1
Liu Xiaobo,Peace,1
Tomas Tranströmer,Literature,1
Thomas J. Sargent,Economic Sciences,1
Thomas J. Sargent,North America,1
Tawakkol Karman,Peace,1
Ellen Johnson Sirleaf,Peace,1
Jules A. Hoffmann,Medicine,1
Jules A. Hoffmann,Europe,1
Dan Shechtman,Chemistry,1
Dan Shechtman,Israel,1
Christopher A. Sims,Economic Sciences,1
Christopher A. Sims,North America,1
Leymah Gbowee,Peace,1
Adam G. Riess,Physics,1
Adam G. Riess,North America,1
Ralph M. Steinman,Medicine,1
Ralph M. Steinman,North America,1
Bruce A. Beutler,Medicine,1
Bruce A. Beutler,North America,1
Brian P. Schmidt,Physics,1
Brian P. Schmidt,Australia,1
Saul Perlmutter,Physics,1
Saul Perlmutter,North America,1
Lloyd S. Shapley,Economic Sciences,1
Lloyd S. Shapley,North America,1
Serge Haroche,Physics,1
Serge Haroche,Europe,1
David J. Wineland,Physics,1
David J. Wineland,North America,1
Alvin E. Roth,Economic Sciences,1
Alvin E. Roth,North America,1
Robert J. Lefkowitz,Chemistry,1
Brian Kobilka,Chemistry,1
Brian Kobilka,North America,1
Mo Yan,Literature,1
Sir John B. Gurdon,Medicine,1
Sir John B. Gurdon,Europe,1
Shinya Yamanaka,Medicine,1
Shinya Yamanaka,Japan,1
Alice Munro,Literature,1
Robert J. Shiller,Economic Sciences,1
Robert J. Shiller,North America,1
Michael Levitt,Chemistry,1
Michael Levitt,North America,1
Eugene F. Fama,Economic Sciences,1
Eugene F. Fama,North America,1
Randy W. Schekman,Medicine,1
Randy W. Schekman,North America,1
Arieh Warshel,Chemistry,1
Arieh Warshel,North America,1
François Englert,Physics,1
François Englert,Europe,1
Lars Peter Hansen,Economic Sciences,1
Lars Peter Hansen,North America,1
Peter Higgs,Physics,1
Peter Higgs,Europe,1
James E. Rothman,Medicine,1
James E. Rothman,North America,1
Martin Karplus,Chemistry,1
Martin Karplus,Europe,1
Thomas C. Südhof,Medicine,1
Thomas C. Südhof,North America,1
William E. Moerner,Chemistry,1
William E. Moerner,North America,1
Edvard I. Moser,Medicine,1
Edvard I. Moser,Europe,1
John O'Keefe,Medicine,1
John O'Keefe,Europe,1
Eric Betzig,Chemistry,1
Eric Betzig,North America,1
Malala Yousafzai,Peace,1
May-Britt Moser,Medicine,1
May-Britt Moser,Europe,1
Stefan W. Hell,Chemistry,1
Stefan W. Hell,Europe,1
Isamu Akasaki,Physics,1
Isamu Akasaki,Japan,1
Hiroshi Amano,Physics,1
Hiroshi Amano,Japan,1
Patrick Modiano,Literature,1
Shuji Nakamura,Physics,1
Shuji Nakamura,North America,1
Kailash Satyarthi,Peace,1
Jean Tirole,Economic Sciences,1
Jean Tirole,Europe,1
Takaaki Kajita,Physics,1
Takaaki Kajita,Japan,1
Svetlana Alexievich,Literature,1
Aziz Sancar,Chemistry,1
Aziz Sancar,North America,1
Satoshi &#332;mura,Medicine,1
Satoshi &#332;mura,Japan,1
Angus Deaton,Economic Sciences,1
Angus Deaton,North America,1
William C. Campbell,Medicine,1
William C. Campbell,North America,1
Tomas Lindahl,Chemistry,1
Tomas Lindahl,Europe,1
Tu Youyou,Medicine,1
Tu Youyou,China,1
Arthur B. McDonald,Physics,1
Arthur B. McDonald,North America,1
Paul Modrich,Chemistry,1
Paul Modrich,North America,1
Juan Manuel Santos,Peace,1
Jean-Pierre Sauvage,Chemistry,1
Jean-Pierre Sauvage,Europe,1
Bob Dylan,Literature,1
Sir J. Fraser Stoddart,Chemistry,1
Sir J. Fraser Stoddart,North America,1
J. Michael Kosterlitz,Physics,1
J. Michael Kosterlitz,North America,1
David J. Thouless,Physics,1
David J. Thouless,North America,1
Oliver Hart,Economic Sciences,1
Oliver Hart,North America,1
Yoshinori Ohsumi,Medicine,1
Yoshinori Ohsumi,Japan,1
F. Duncan M. Haldane,Physics,1
F. Duncan M. Haldane,North America,1
Bernard L. Feringa,Chemistry,1
Bernard L. Feringa,Europe,1
Bengt Holmström,Economic Sciences,1
Bengt Holmström,North America,1
Michael Rosbash,Medicine,1
Michael Rosbash,North America,1
Barry C. Barish,Physics,1
Michael W. Young,Medicine,1
Michael W. Young,North America,1
Kip S. Thorne,Physics,1
Rainer Weiss,Physics,1
Richard H. Thaler,Economic Sciences,1
Richard H. Thaler,North America,1
Richard Henderson,Chemistry,1
Richard Henderson,Europe,1
Jacques Dubochet,Chemistry,1
Jacques Dubochet,Europe,1
Joachim Frank,Chemistry,1
Joachim Frank,North America,1
Jeffrey C. Hall,Medicine,1
Jeffrey C. Hall,North America,1
Kazuo Ishiguro,Literature,1
Tasuku Honjo,Medicine,1
Tasuku Honjo,Japan,1
Olga Tokarczuk,Literature,1
Nadia Murad,Peace,1
Donna Strickland,Physics,1
Donna Strickland,North America,1
George P. Smith,Chemistry,1
George P. Smith,North America,1
Denis Mukwege,Peace,1
William D. Nordhaus,Economic Sciences,1
William D. Nordhaus,North America,1
Frances H. Arnold,Chemistry,1
Frances H. Arnold,North America,1
Arthur Ashkin,Physics,1
Arthur Ashkin,North America,1
James P. Allison,Medicine,1
James P. Allison,North America,1
Sir Gregory P. Winter,Chemistry,1
Sir Gregory P. Winter,Europe,1
Gérard Mourou,Physics,1
Gérard Mourou,Europe,1
Paul M. Romer,Economic Sciences,1
Paul M. Romer,North America,1
Peter Handke,Literature,1
Abiy Ahmed Ali,Peace,1
Abhijit Banerjee,Economic Sciences,1
Abhijit Banerjee,North America,1
Esther Duflo,Economic Sciences,1
Esther Duflo,North America,1
John B. Goodenough,Chemistry,1
John B. Goodenough,North America,1
Akira Yoshino,Chemistry,1
Akira Yoshino,Japan,1
Didier Queloz,Physics,1
Didier Queloz,Europe,1
Michael Kremer,Economic Sciences,1
Michael Kremer,North America,1
Sir Peter J. Ratcliffe,Medicine,1
Sir Peter J. Ratcliffe,Europe,1
M. Stanley Whittingham,Chemistry,1
M. Stanley Whittingham,North America,1
James Peebles,Physics,1
James Peebles,North America,1
William G. Kaelin Jr,Medicine,1
William G. Kaelin Jr,North America,1
Gregg L. Semenza,Medicine,1
Gregg L. Semenza,North America,1
Michel Mayor,Physics,1
Michel Mayor,Europe,1
