month,year,temp
1,1993_min,-9.0
1,1993_max,1.0
1,1993_min,-9.0
1,1993_max,-1.0
1,1993_min,-4.0
1,1993_max,1.0
1,1993_min,-9.0
1,1993_max,0.0
1,1993_min,-5.0
1,1993_max,2.0
1,1993_min,-4.0
1,1993_max,4.0
1,1993_min,-3.0
1,1993_max,5.0
1,1993_min,-3.0
1,1993_max,8.0
1,1993_min,-4.0
1,1993_max,5.0
1,1993_min,-6.0
1,1993_max,0.0
1,1993_min,-1.0
1,1993_max,3.0
1,1993_min,2.0
1,1993_max,5.0
1,1993_min,-1.0
1,1993_max,5.0
1,1993_min,0.0
1,1993_max,8.0
1,1993_min,-2.0
1,1993_max,8.0
1,1993_min,-3.0
1,1993_max,7.0
1,1993_min,-5.0
1,1993_max,1.0
1,1993_min,-2.0
1,1993_max,1.0
1,1993_min,-3.0
1,1993_max,3.0
1,1993_min,-3.0
1,1993_max,5.0
1,1993_min,-4.0
1,1993_max,4.0
1,1993_min,-4.0
1,1993_max,5.0
1,1993_min,-2.0
1,1993_max,2.0
1,1993_min,-1.0
1,1993_max,3.0
1,1993_min,1.0
1,1993_max,12.0
1,1993_min,-5.0
1,1993_max,7.0
1,1993_min,-5.0
1,1993_max,9.0
1,1993_min,-6.0
1,1993_max,7.0
1,1993_min,-4.0
1,1993_max,7.0
1,1993_min,-5.0
1,1993_max,8.0
1,1993_min,-4.0
1,1993_max,5.0
2,1993_min,-3.0
2,1993_max,7.0
2,1993_min,-4.0
2,1993_max,6.0
2,1993_min,-2.0
2,1993_max,7.0
2,1993_min,-3.0
2,1993_max,8.0
2,1993_min,-4.0
2,1993_max,6.0
2,1993_min,-2.0
2,1993_max,7.0
2,1993_min,-1.0
2,1993_max,11.0
2,1993_min,-4.0
2,1993_max,5.0
2,1993_min,-5.0
2,1993_max,10.0
2,1993_min,-5.0
2,1993_max,6.0
2,1993_min,-3.0
2,1993_max,5.0
2,1993_min,-5.0
2,1993_max,6.0
2,1993_min,-4.0
2,1993_max,7.0
2,1993_min,-4.0
2,1993_max,7.0
2,1993_min,-6.0
2,1993_max,7.0
2,1993_min,-1.0
2,1993_max,6.0
2,1993_min,-4.0
2,1993_max,4.0
2,1993_min,-6.0
2,1993_max,11.0
2,1993_min,-4.0
2,1993_max,8.0
2,1993_min,-1.0
2,1993_max,11.0
2,1993_min,-2.0
2,1993_max,7.0
2,1993_min,-2.0
2,1993_max,4.0
2,1993_min,-3.0
2,1993_max,2.0
2,1993_min,-3.0
2,1993_max,5.0
2,1993_min,-5.0
2,1993_max,8.0
2,1993_min,-5.0
2,1993_max,7.0
2,1993_min,-5.0
2,1993_max,7.0
2,1993_min,-2.0
2,1993_max,5.0
3,1993_min,1.0
3,1993_max,5.0
3,1993_min,1.0
3,1993_max,8.0
3,1993_min,1.0
3,1993_max,9.0
3,1993_min,0.0
3,1993_max,10.0
3,1993_min,-1.0
3,1993_max,7.0
3,1993_min,-5.0
3,1993_max,14.0
3,1993_min,-2.0
3,1993_max,13.0
3,1993_min,-2.0
3,1993_max,12.0
3,1993_min,-5.0
3,1993_max,12.0
3,1993_min,-3.0
3,1993_max,12.0
3,1993_min,-2.0
3,1993_max,15.0
3,1993_min,-1.0
3,1993_max,14.0
3,1993_min,1.0
3,1993_max,15.0
3,1993_min,4.0
3,1993_max,15.0
3,1993_min,3.0
3,1993_max,17.0
3,1993_min,-1.0
3,1993_max,20.0
3,1993_min,0.0
3,1993_max,27.0
3,1993_min,5.0
3,1993_max,26.0
3,1993_min,5.0
3,1993_max,25.0
3,1993_min,5.0
3,1993_max,23.0
3,1993_min,3.0
3,1993_max,20.0
3,1993_min,9.0
3,1993_max,17.0
3,1993_min,9.0
3,1993_max,16.0
3,1993_min,7.0
3,1993_max,13.0
3,1993_min,6.0
3,1993_max,11.0
3,1993_min,3.0
3,1993_max,18.0
3,1993_min,0.0
3,1993_max,10.0
3,1993_min,2.0
3,1993_max,10.0
3,1993_min,-1.0
3,1993_max,13.0
3,1993_min,-1.0
3,1993_max,15.0
3,1993_min,-3.0
3,1993_max,16.0
4,1993_min,-1.0
4,1993_max,17.0
4,1993_min,6.0
4,1993_max,19.0
4,1993_min,6.0
4,1993_max,15.0
4,1993_min,4.0
4,1993_max,12.0
4,1993_min,6.0
4,1993_max,20.0
4,1993_min,3.0
4,1993_max,21.0
4,1993_min,3.0
4,1993_max,30.0
4,1993_min,6.0
4,1993_max,23.0
4,1993_min,4.0
4,1993_max,19.0
4,1993_min,6.0
4,1993_max,15.0
4,1993_min,6.0
4,1993_max,14.0
4,1993_min,5.0
4,1993_max,13.0
4,1993_min,6.0
4,1993_max,11.0
4,1993_min,5.0
4,1993_max,26.0
4,1993_min,6.0
4,1993_max,18.0
4,1993_min,3.0
4,1993_max,23.0
4,1993_min,5.0
4,1993_max,21.0
4,1993_min,2.0
4,1993_max,22.0
4,1993_min,7.0
4,1993_max,21.0
4,1993_min,5.0
4,1993_max,24.0
4,1993_min,11.0
4,1993_max,22.0
4,1993_min,6.0
4,1993_max,24.0
4,1993_min,5.0
4,1993_max,24.0
4,1993_min,8.0
4,1993_max,24.0
4,1993_min,10.0
4,1993_max,19.0
4,1993_min,10.0
4,1993_max,24.0
4,1993_min,7.0
4,1993_max,27.0
4,1993_min,12.0
4,1993_max,19.0
4,1993_min,11.0
4,1993_max,23.0
4,1993_min,11.0
4,1993_max,17.0
5,1993_min,6.0
5,1993_max,18.0
5,1993_min,7.0
5,1993_max,22.0
5,1993_min,7.0
5,1993_max,23.0
5,1993_min,10.0
5,1993_max,26.0
5,1993_min,9.0
5,1993_max,26.0
5,1993_min,9.0
5,1993_max,22.0
5,1993_min,10.0
5,1993_max,22.0
5,1993_min,9.0
5,1993_max,24.0
5,1993_min,10.0
5,1993_max,25.0
5,1993_min,12.0
5,1993_max,27.0
5,1993_min,11.0
5,1993_max,23.0
5,1993_min,11.0
5,1993_max,22.0
5,1993_min,8.0
5,1993_max,21.0
5,1993_min,7.0
5,1993_max,24.0
5,1993_min,7.0
5,1993_max,28.0
5,1993_min,11.0
5,1993_max,25.0
5,1993_min,9.0
5,1993_max,26.0
5,1993_min,9.0
5,1993_max,26.0
5,1993_min,10.0
5,1993_max,28.0
5,1993_min,15.0
5,1993_max,34.0
5,1993_min,11.0
5,1993_max,23.0
5,1993_min,9.0
5,1993_max,25.0
5,1993_min,8.0
5,1993_max,27.0
5,1993_min,10.0
5,1993_max,28.0
5,1993_min,13.0
5,1993_max,30.0
5,1993_min,13.0
5,1993_max,30.0
5,1993_min,20.0
5,1993_max,28.0
5,1993_min,13.0
5,1993_max,26.0
5,1993_min,11.0
5,1993_max,27.0
5,1993_min,11.0
5,1993_max,27.0
5,1993_min,16.0
5,1993_max,30.0
6,1993_min,13.0
6,1993_max,29.0
6,1993_min,14.0
6,1993_max,32.0
6,1993_min,13.0
6,1993_max,21.0
6,1993_min,13.0
6,1993_max,27.0
6,1993_min,10.0
6,1993_max,31.0
6,1993_min,12.0
6,1993_max,31.0
6,1993_min,16.0
6,1993_max,32.0
6,1993_min,15.0
6,1993_max,32.0
6,1993_min,18.0
6,1993_max,31.0
6,1993_min,16.0
6,1993_max,30.0
6,1993_min,15.0
6,1993_max,27.0
6,1993_min,13.0
6,1993_max,26.0
6,1993_min,13.0
6,1993_max,21.0
6,1993_min,13.0
6,1993_max,28.0
6,1993_min,13.0
6,1993_max,28.0
6,1993_min,11.0
6,1993_max,30.0
6,1993_min,18.0
6,1993_max,29.0
6,1993_min,11.0
6,1993_max,27.0
6,1993_min,11.0
6,1993_max,29.0
6,1993_min,14.0
6,1993_max,30.0
6,1993_min,14.0
6,1993_max,28.0
6,1993_min,17.0
6,1993_max,26.0
6,1993_min,16.0
6,1993_max,24.0
6,1993_min,15.0
