month,year,temp
12,2017_avg,1.182258064516129
1,2021_min,-9.4
1,2021_max,8.2
1,2021_avg,0.019354838709677406
2,2021_min,-4.4
2,2021_max,18.9
2,2021_avg,5.823214285714286
3,2021_min,-1.5
3,2021_max,25.3
3,2021_avg,8.901612903225805
4,2021_min,-0.7
4,2021_max,25.6
4,2021_avg,11.826666666666666
5,2021_min,7.0
5,2021_max,26.6
5,2021_avg,15.774193548387096
6,2021_min,13.1
6,2021_max,33.6
6,2021_avg,23.658333333333335
7,2021_min,14.4
7,2021_max,33.5
7,2021_avg,23.04032258064516
8,2021_min,9.6
8,2021_max,32.9
8,2021_avg,21.388709677419353
9,2021_min,11.1
9,2021_max,29.7
9,2021_avg,19.578333333333333
10,2021_min,1.7
10,2021_max,22.0
10,2021_avg,11.94516129032258
11,2021_min,-2.3
11,2021_max,14.1
11,2021_avg,7.1433333333333335
12,2021_min,-5.7
12,2021_max,11.5
12,2021_avg,2.8403225806451613
